test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance
10,78.25296549285021,0.0,-10213.919921875,2196.502197265625,10000.0,-2079.463134765625,2196.502197265625,0.0,46.34020233154297,0.0,-45.369651794433594,9.434452056884766,0.0,0.0,1021392.0,1252.911865234375,-1000000.0,207946.296875,1252.911865234375,0.0,-12.526694297790527,11767.4765625,17.07297706604004,-2.526871681213379,11767.4765625,2931.427978515625,-3583.786865234375,283724.125,-2933.449462890625,3593.40966796875,280396.75,0.0,32.89084243774414,32.64363479614258,-32.201927185058594,6.696267127990723,32.643680572509766,32.68913650512695,3.2415242195129395,32.68486022949219,32.842411041259766,2.2586724758148193,32.61368942260742,True,False,0,4906.7880859375
11,83.22839651084527,0.0,-10070.2490234375,4235.1328125,10000.0,-1187.4014892578125,4235.1328125,0.0,81.79084014892578,0.0,-81.22027587890625,9.644107818603516,0.0,0.0,1007024.9375,2520.25830078125,-1000000.0,118740.1484375,2520.25830078125,0.0,-15.41241455078125,13365.349609375,14.504826545715332,-1.8051629066467285,13365.3505859375,-3035.99853515625,23413.365234375,29777.181640625,3058.06201171875,-3430.028076171875,33525.68359375,0.0,57.98097610473633,57.6883659362793,-57.57646560668945,6.83665132522583,57.688419342041016,0.17972052097320557,58.016544342041016,57.651573181152344,-51.9078369140625,-26.032175064086914,57.59862518310547,True,False,0,5033.3154296875
12,86.52636152350952,0.0,-10018.40625,2971.324951171875,10000.0,-607.0081787109375,2971.324951171875,0.0,55.010684967041016,0.0,-54.90961837768555,3.3330588340759277,0.0,0.0,1001840.625,1231.57421875,-1000000.0,60700.81640625,1231.57421875,0.0,-14.286765098571777,12329.4853515625,14.73257064819336,-0.9984334111213684,12329.4873046875,-3175.10205078125,3355.472412109375,40139.00390625,-30378.73046875,-1219.180419921875,43422.69140625,0.0,39.00743103027344,38.78911590576172,-38.935447692871094,2.3634109497070312,38.7894401550293,32.583168029785156,21.53985595703125,38.73649597167969,-38.93437194824219,2.4868085384368896,38.78273010253906,True,False,0,5218.2431640625
13,87.32584993712327,0.0,-10010.9013671875,1953.61865234375,10000.0,-467.0664367675781,1953.61865234375,0.0,128.6989288330078,0.0,-128.55877685546875,6.0045485496521,0.0,0.0,1001090.1875,3278.189453125,-1000000.0,46706.64453125,3278.189453125,0.0,-12.828733444213867,1966.54345703125,15.13283920288086,-0.6531624794006348,1966.541748046875,3343.0625,19246.513671875,1997.1827392578125,-19983.779296875,4157.712890625,1987.8885498046875,0.0,128.6989288330078,0.16639789938926697,-128.55877685546875,6.0045485496521,0.16639937460422516,-0.43871480226516724,128.6971435546875,0.1701543629169464,-128.57809448242188,5.580632209777832,0.16707491874694824,True,False,0,4509.76220703125
14,100.52275157582221,0.0,-10171.0517578125,2744.6494140625,10000.0,1857.498046875,2744.6494140625,0.0,55.51578140258789,0.0,-54.5821418762207,-10.138622283935547,0.0,0.0,1017105.1875,4972.72314453125,-1000000.0,-185749.8125,4972.72314453125,0.0,-14.208017349243164,2766.750244140625,11.513894081115723,1.9470576047897339,2766.750244140625,-3523.1357421875,18116.013671875,2799.5498046875,-16206.5791015625,-6600.10302734375,2810.968505859375,0.0,55.51578140258789,0.11945517361164093,-54.5821418762207,-10.138622283935547,0.11945468187332153,0.19617916643619537,55.51466751098633,0.11981845647096634,-54.61754608154297,-9.94662857055664,0.12098167836666107,True,False,0,5299.49072265625
15,110.30683382037391,0.0,-10662.7138671875,3700.48876953125,10000.0,3700.46826171875,3700.48876953125,0.0,75.66236114501953,0.0,-70.95976257324219,-26.258434295654297,0.0,0.0,1066271.375,2337.635009765625,-1000000.0,-370046.84375,2337.635009765625,0.0,-10.15546703338623,13426.4462890625,12.536100387573242,5.004735946655273,13425.9140625,3825.390869140625,-2648.467041015625,33961.1328125,-23723.392578125,-4784.494140625,31086.869140625,0.0,53.690250396728516,53.31182098388672,-50.353057861328125,-18.632993698120117,53.312049865722656,11.586852073669434,52.41532897949219,53.32078552246094,-50.231903076171875,-18.79397201538086,53.36979675292969,True,False,0,5802.8720703125
16,132.2230843578316,0.0,-13503.7705078125,4504.44384765625,10000.0,9074.791015625,4504.44384765625,0.0,116.88510131835938,0.0,-86.55738067626953,-78.54901123046875,0.0,0.0,1350377.125,2329.836181640625,-1000000.0,-907479.0625,2329.836181640625,0.0,-9.804311752319336,16657.00390625,9.576171875,7.6052470207214355,16656.18359375,4165.13671875,-1894.6527099609375,709615.75,-4283.60888671875,1829.8538818359375,709615.75,0.0,82.88864135742188,82.4111557006836,-61.381526947021484,-55.70252990722656,82.41155242919922,-25.89698028564453,78.71951293945312,82.42988586425781,52.701820373535156,-63.96627426147461,82.41877746582031,True,False,0,6150.28271484375
17,133.04459338673433,0.0,-13683.2099609375,3603.3369140625,10000.0,9339.712890625,3603.3369140625,0.0,126.16513061523438,0.0,-92.20433807373047,-86.11619567871094,0.0,0.0,1368321.0,1029.117919921875,-1000000.0,-933971.25,1029.117919921875,0.0,-10.14396858215332,15877.279296875,7.734219074249268,8.10844898223877,15877.279296875,-4321.0126953125,1876.964111328125,763233.1875,4323.88330078125,-1865.9066162109375,763233.1875,0.0,89.44074249267578,88.98310852050781,-65.36534118652344,-61.04939270019531,88.98304748535156,34.263492584228516,82.59871673583984,89.00004577636719,25.11797523498535,85.83824920654297,88.98529052734375,True,False,0,6145.76416015625
18,146.30387232528014,0.0,-18024.896484375,2627.833251953125,10000.0,14996.5634765625,2627.833251953125,0.0,60.153045654296875,0.0,-33.37220001220703,-50.04682922363281,0.0,0.0,1802489.625,1480.2061767578125,-1000000.0,-1499656.25,1480.2061767578125,0.0,-4.96800422668457,19767.388671875,3.0615673065185547,14.522140502929688,19766.96484375,-4443.66064453125,1365.116455078125,370932.4375,4386.47998046875,-1353.7144775390625,370932.4375,0.0,42.66461181640625,42.40424728393555,-23.669736862182617,-35.49650192260742,42.40437698364258,26.5715389251709,-33.372047424316406,42.41012191772461,-23.508872985839844,-35.595069885253906,42.41043472290039,True,False,0,6359.89599609375
19,149.59079427878495,0.0,-19756.1171875,4887.94189453125,10000.0,17038.314453125,4887.94189453125,0.0,109.88056945800781,0.0,-55.61850357055664,-94.76455688476562,0.0,0.0,1975611.75,1114.8887939453125,-1000000.0,-1703831.5,1114.8887939453125,0.0,-8.133560180664062,23373.947265625,4.1867780685424805,11.401657104492188,23373.94921875,-4416.654296875,1252.0888671875,671733.5625,4523.91552734375,-1194.58837890625,671733.625,0.0,77.90680694580078,77.48751068115234,-39.434078216552734,-67.18901824951172,77.4879379272461,-45.65135192871094,63.10762023925781,77.50495147705078,-20.55513572692871,75.12632751464844,77.50654602050781,True,False,0,6309.53564453125
